TTree  Jul 18 20:37 2018 Events            ""
  EventAuxiliary                                                      "EventAuxiliary"                                                      24988705
  EventProductProvenance                                              "EventProductProvenance"                                              3006852
  EventSelections                                                     "EventSelections"                                                     16909910
  BranchListIndexes                                                   "BranchListIndexes"                                                   4133994
  edmTriggerResults_TriggerResults__HLT.                              "edmTriggerResults_TriggerResults__HLT."                              0
    edmTriggerResults_TriggerResults__HLT.present  "edmTriggerResults_TriggerResults__HLT.present"  212949
    edmTriggerResults_TriggerResults__HLT.obj      "edmTriggerResults_TriggerResults__HLT.obj"      227900139
  GlobalAlgBlkBXVector_gtStage2Digis__RECO.                           "GlobalAlgBlkBXVector_gtStage2Digis__RECO."                           0
    GlobalAlgBlkBXVector_gtStage2Digis__RECO.present  "GlobalAlgBlkBXVector_gtStage2Digis__RECO.present"  213612
    GlobalAlgBlkBXVector_gtStage2Digis__RECO.obj      "GlobalAlgBlkBXVector_gtStage2Digis__RECO.obj"      1487863202
  GlobalExtBlkBXVector_gtStage2Digis__RECO.                           "GlobalExtBlkBXVector_gtStage2Digis__RECO."                           0
    GlobalExtBlkBXVector_gtStage2Digis__RECO.present  "GlobalExtBlkBXVector_gtStage2Digis__RECO.present"  213612
    GlobalExtBlkBXVector_gtStage2Digis__RECO.obj      "GlobalExtBlkBXVector_gtStage2Digis__RECO.obj"      257496116
  l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.                      "l1tEGammaBXVector_caloStage2Digis_EGamma_RECO."                      0
    l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.present  "l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.present"  214717
    l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.obj      "l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.obj"      211864866
  l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.                        "l1tEtSumBXVector_caloStage2Digis_EtSum_RECO."                        0
    l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.present  "l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.present"  214275
    l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.obj      "l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.obj"      1252640696
  l1tJetBXVector_caloStage2Digis_Jet_RECO.                            "l1tJetBXVector_caloStage2Digis_Jet_RECO."                            0
    l1tJetBXVector_caloStage2Digis_Jet_RECO.present  "l1tJetBXVector_caloStage2Digis_Jet_RECO.present"  213391
    l1tJetBXVector_caloStage2Digis_Jet_RECO.obj      "l1tJetBXVector_caloStage2Digis_Jet_RECO.obj"      247610524
  l1tMuonBXVector_gmtStage2Digis_Muon_RECO.                           "l1tMuonBXVector_gmtStage2Digis_Muon_RECO."                           0
    l1tMuonBXVector_gmtStage2Digis_Muon_RECO.present  "l1tMuonBXVector_gmtStage2Digis_Muon_RECO.present"  213612
    l1tMuonBXVector_gmtStage2Digis_Muon_RECO.obj      "l1tMuonBXVector_gmtStage2Digis_Muon_RECO.obj"      59289780
  l1tTauBXVector_caloStage2Digis_Tau_RECO.                            "l1tTauBXVector_caloStage2Digis_Tau_RECO."                            0
    l1tTauBXVector_caloStage2Digis_Tau_RECO.present  "l1tTauBXVector_caloStage2Digis_Tau_RECO.present"  213391
    l1tTauBXVector_caloStage2Digis_Tau_RECO.obj      "l1tTauBXVector_caloStage2Digis_Tau_RECO.obj"      850394552
  HcalNoiseSummary_hcalnoise__RECO.                                   "HcalNoiseSummary_hcalnoise__RECO."                                   0
    HcalNoiseSummary_hcalnoise__RECO.present  "HcalNoiseSummary_hcalnoise__RECO.present"  211844
    HcalNoiseSummary_hcalnoise__RECO.obj      "HcalNoiseSummary_hcalnoise__RECO.obj"      80079217
  L1GlobalTriggerReadoutRecord_gtDigis__RECO.                         "L1GlobalTriggerReadoutRecord_gtDigis__RECO."                         0
    L1GlobalTriggerReadoutRecord_gtDigis__RECO.present  "L1GlobalTriggerReadoutRecord_gtDigis__RECO.present"  214054
    L1GlobalTriggerReadoutRecord_gtDigis__RECO.obj      "L1GlobalTriggerReadoutRecord_gtDigis__RECO.obj"      13557843
  double_fixedGridRhoAll__RECO.                                       "double_fixedGridRhoAll__RECO."                                       0
    double_fixedGridRhoAll__RECO.present  "double_fixedGridRhoAll__RECO.present"  210960
    double_fixedGridRhoAll__RECO.obj      "double_fixedGridRhoAll__RECO.obj"      1524361
  double_fixedGridRhoFastjetAll__RECO.                                "double_fixedGridRhoFastjetAll__RECO."                                0
    double_fixedGridRhoFastjetAll__RECO.present  "double_fixedGridRhoFastjetAll__RECO.present"  212507
    double_fixedGridRhoFastjetAll__RECO.obj      "double_fixedGridRhoFastjetAll__RECO.obj"      1525908
  double_fixedGridRhoFastjetAllCalo__RECO.                            "double_fixedGridRhoFastjetAllCalo__RECO."                            0
    double_fixedGridRhoFastjetAllCalo__RECO.present  "double_fixedGridRhoFastjetAllCalo__RECO.present"  213391
    double_fixedGridRhoFastjetAllCalo__RECO.obj      "double_fixedGridRhoFastjetAllCalo__RECO.obj"      1526792
  double_fixedGridRhoFastjetCentral__RECO.                            "double_fixedGridRhoFastjetCentral__RECO."                            0
    double_fixedGridRhoFastjetCentral__RECO.present  "double_fixedGridRhoFastjetCentral__RECO.present"  213391
    double_fixedGridRhoFastjetCentral__RECO.obj      "double_fixedGridRhoFastjetCentral__RECO.obj"      1526792
  double_fixedGridRhoFastjetCentralCalo__RECO.                        "double_fixedGridRhoFastjetCentralCalo__RECO."                        0
    double_fixedGridRhoFastjetCentralCalo__RECO.present  "double_fixedGridRhoFastjetCentralCalo__RECO.present"  214275
    double_fixedGridRhoFastjetCentralCalo__RECO.obj      "double_fixedGridRhoFastjetCentralCalo__RECO.obj"      1527676
  double_fixedGridRhoFastjetCentralChargedPileUp__RECO.               "double_fixedGridRhoFastjetCentralChargedPileUp__RECO."               0
    double_fixedGridRhoFastjetCentralChargedPileUp__RECO.present  "double_fixedGridRhoFastjetCentralChargedPileUp__RECO.present"  216264
    double_fixedGridRhoFastjetCentralChargedPileUp__RECO.obj      "double_fixedGridRhoFastjetCentralChargedPileUp__RECO.obj"      1529665
  double_fixedGridRhoFastjetCentralNeutral__RECO.                     "double_fixedGridRhoFastjetCentralNeutral__RECO."                     0
    double_fixedGridRhoFastjetCentralNeutral__RECO.present  "double_fixedGridRhoFastjetCentralNeutral__RECO.present"  214938
    double_fixedGridRhoFastjetCentralNeutral__RECO.obj      "double_fixedGridRhoFastjetCentralNeutral__RECO.obj"      1528339
  edmTriggerResults_TriggerResults__RECO.                             "edmTriggerResults_TriggerResults__RECO."                             0
    edmTriggerResults_TriggerResults__RECO.present  "edmTriggerResults_TriggerResults__RECO.present"  213170
    edmTriggerResults_TriggerResults__RECO.obj      "edmTriggerResults_TriggerResults__RECO.obj"      30657139
  recoBeamHaloSummary_BeamHaloSummary__RECO.                          "recoBeamHaloSummary_BeamHaloSummary__RECO."                          0
    recoBeamHaloSummary_BeamHaloSummary__RECO.present  "recoBeamHaloSummary_BeamHaloSummary__RECO.present"  213833
    recoBeamHaloSummary_BeamHaloSummary__RECO.obj      "recoBeamHaloSummary_BeamHaloSummary__RECO.obj"      20060071
  recoBeamSpot_offlineBeamSpot__RECO.                                 "recoBeamSpot_offlineBeamSpot__RECO."                                 0
    recoBeamSpot_offlineBeamSpot__RECO.present  "recoBeamSpot_offlineBeamSpot__RECO.present"  212286
    recoBeamSpot_offlineBeamSpot__RECO.obj      "recoBeamSpot_offlineBeamSpot__RECO.obj"      62787335
  recoCSCHaloData_CSCHaloData__RECO.                                  "recoCSCHaloData_CSCHaloData__RECO."                                  0
    recoCSCHaloData_CSCHaloData__RECO.present  "recoCSCHaloData_CSCHaloData__RECO.present"  212065
    recoCSCHaloData_CSCHaloData__RECO.obj      "recoCSCHaloData_CSCHaloData__RECO.obj"      19605934
  CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.             "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO."             0
    CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.present  "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.present"  216706
    CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.obj      "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.obj"      3037290
  LumiScalerss_scalersRawToDigi__RECO.                                "LumiScalerss_scalersRawToDigi__RECO."                                0
    LumiScalerss_scalersRawToDigi__RECO.present  "LumiScalerss_scalersRawToDigi__RECO.present"  212507
    LumiScalerss_scalersRawToDigi__RECO.obj      "LumiScalerss_scalersRawToDigi__RECO.obj"      53018946
  l1extraL1EmParticles_l1extraParticles_Isolated_RECO.                "l1extraL1EmParticles_l1extraParticles_Isolated_RECO."                0
    l1extraL1EmParticles_l1extraParticles_Isolated_RECO.present  "l1extraL1EmParticles_l1extraParticles_Isolated_RECO.present"  216043
    l1extraL1EmParticles_l1extraParticles_Isolated_RECO.obj      "l1extraL1EmParticles_l1extraParticles_Isolated_RECO.obj"      3036552
  l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.             "l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO."             0
    l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.present  "l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.present"  216706
    l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.obj      "l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.obj"      3037290
  l1extraL1EtMissParticles_l1extraParticles_MET_RECO.                 "l1extraL1EtMissParticles_l1extraParticles_MET_RECO."                 0
    l1extraL1EtMissParticles_l1extraParticles_MET_RECO.present  "l1extraL1EtMissParticles_l1extraParticles_MET_RECO.present"  215822
    l1extraL1EtMissParticles_l1extraParticles_MET_RECO.obj      "l1extraL1EtMissParticles_l1extraParticles_MET_RECO.obj"      34233111
  l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.                 "l1extraL1EtMissParticles_l1extraParticles_MHT_RECO."                 0
    l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.present  "l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.present"  215822
    l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.obj      "l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.obj"      34233111
  l1extraL1HFRingss_l1extraParticles__RECO.                           "l1extraL1HFRingss_l1extraParticles__RECO."                           0
    l1extraL1HFRingss_l1extraParticles__RECO.present  "l1extraL1HFRingss_l1extraParticles__RECO.present"  213612
    l1extraL1HFRingss_l1extraParticles__RECO.obj      "l1extraL1HFRingss_l1extraParticles__RECO.obj"      18817366
  l1extraL1JetParticles_l1extraParticles_Central_RECO.                "l1extraL1JetParticles_l1extraParticles_Central_RECO."                0
    l1extraL1JetParticles_l1extraParticles_Central_RECO.present  "l1extraL1JetParticles_l1extraParticles_Central_RECO.present"  216043
    l1extraL1JetParticles_l1extraParticles_Central_RECO.obj      "l1extraL1JetParticles_l1extraParticles_Central_RECO.obj"      3036552
